Wed Oct 19 02:38:49 UTC 2016

	 N 			 Estado 	 T.Real(sg)	T.Usuario(sg)	T.Kernel(sg)	CPU	Memoria(KB)
	          2 		 Ok 	 	 0.00 		 0.00 		 0.00 		 0% 		 1424
	          4 		 Ok 	 	 0.00 		 0.00 		 0.00 		 ?% 		 1356
	          8 		 Ok 	 	 0.00 		 0.00 		 0.00 		 ?% 		 1448
	         16 		 Ok 	 	 0.00 		 0.00 		 0.00 		 ?% 		 1452
	         32 		 Ok 	 	 0.00 		 0.00 		 0.00 		 0% 		 1360
	         64 		 Ok 	 	 0.00 		 0.00 		 0.00 		 0% 		 1544
	        128 		 Ok 	 	 0.01 		 0.01 		 0.00 		 84% 		 1636
	        256 		 Ok 	 	 0.13 		 0.12 		 0.00 		 98% 		 1948
	        512 		 Ok 	 	 0.94 		 0.94 		 0.00 		 99% 		 4012
	       1024 		 Ok 	 	 22.11 		 22.08 		 0.00 		 99% 		 13356
