Wed Oct 19 02:48:46 UTC 2016

	 N 			 Estado 	 T.Real(sg)	T.Usuario(sg)	T.Kernel(sg)	CPU	Memoria(KB)
	          2 		 Ok 	 	 0.05 		 0.00 		 0.04 		 90% 		 25580
	          4 		 Ok 	 	 0.03 		 0.00 		 0.03 		 86% 		 25676
	          8 		 Ok 	 	 0.03 		 0.00 		 0.02 		 94% 		 25620
	         16 		 Ok 	 	 0.03 		 0.00 		 0.02 		 87% 		 25588
	         32 		 Ok 	 	 0.03 		 0.00 		 0.02 		 100% 		 25656
	         64 		 Ok 	 	 0.03 		 0.01 		 0.02 		 86% 		 25660
	        128 		 Ok 	 	 0.06 		 0.02 		 0.03 		 96% 		 25828
	        256 		 Ok 	 	 0.18 		 0.08 		 0.09 		 96% 		 26120
	        512 		 Ok 	 	 0.64 		 0.15 		 0.48 		 98% 		 28372
	       1024 		 Ok 	 	 5.17 		 1.46 		 3.70 		 99% 		 37632
