Wed Oct 19 02:50:27 UTC 2016

	 N 			 Estado 	 T.Real(sg)	T.Usuario(sg)	T.Kernel(sg)	CPU	Memoria(KB)
	          2 		 Ok 	 	 0.04 		 0.00 		 0.04 		 100% 		 25584
	          4 		 Ok 	 	 0.03 		 0.00 		 0.02 		 92% 		 25652
	          8 		 Ok 	 	 0.03 		 0.01 		 0.02 		 94% 		 25872
	         16 		 Ok 	 	 0.03 		 0.00 		 0.02 		 87% 		 25588
	         32 		 Ok 	 	 0.03 		 0.00 		 0.02 		 90% 		 25596
	         64 		 Ok 	 	 0.02 		 0.00 		 0.01 		 88% 		 25660
	        128 		 Ok 	 	 0.03 		 0.00 		 0.03 		 96% 		 25836
	        256 		 Ok 	 	 0.07 		 0.01 		 0.06 		 97% 		 26120
	        512 		 Ok 	 	 0.50 		 0.14 		 0.36 		 100% 		 28604
	       1024 		 Ok 	 	 3.91 		 1.00 		 2.91 		 100% 		 37692
